timestamp,bucket_values
2021-06-01T06:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.007, 0.023, 0.052, 0.071, 0.105, 0.138, 0.135, 0.124, 0.119, 0.112, 0.073, 0.027, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-02T06:48:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.005, 0.008, 0.027, 0.071, 0.088, 0.11, 0.122, 0.132, 0.143, 0.154, 0.096, 0.027, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-03T06:21:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.003, 0.006, 0.014, 0.046, 0.105, 0.146, 0.167, 0.166, 0.145, 0.119, 0.059, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-04T02:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.007, 0.016, 0.05, 0.13, 0.2, 0.209, 0.17, 0.123, 0.068, 0.017, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-04T07:34:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.004, 0.005, 0.014, 0.037, 0.076, 0.144, 0.178, 0.179, 0.157, 0.119, 0.056, 0.019, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-05T06:29:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.01, 0.017, 0.046, 0.106, 0.152, 0.165, 0.157, 0.132, 0.113, 0.068, 0.02, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-05T08:07:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.01, 0.017, 0.045, 0.103, 0.147, 0.161, 0.156, 0.136, 0.118, 0.072, 0.021, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-06T06:20:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.022, 0.071, 0.109, 0.156, 0.209, 0.193, 0.121, 0.06, 0.035, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-07T06:55:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.026, 0.15, 0.138, 0.102, 0.116, 0.124, 0.109, 0.083, 0.08, 0.043, 0.013, 0.003, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-08T01:57:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.009, 0.021, 0.067, 0.181, 0.26, 0.229, 0.139, 0.057, 0.022, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-08T07:19:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.006, 0.009, 0.03, 0.082, 0.167, 0.221, 0.196, 0.135, 0.081, 0.047, 0.016, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-09T06:04:00,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.005, 0.014, 0.055, 0.106, 0.161, 0.192, 0.177, 0.127, 0.081, 0.048, 0.022, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-10T06:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.008, 0.009, 0.014, 0.027, 0.075, 0.138, 0.17, 0.168, 0.162, 0.133, 0.064, 0.02, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-11T07:58:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.006, 0.018, 0.068, 0.118, 0.166, 0.204, 0.194, 0.12, 0.065, 0.028, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-12T03:41:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.006, 0.015, 0.057, 0.135, 0.204, 0.203, 0.147, 0.101, 0.076, 0.038, 0.01, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-12T05:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.004, 0.008, 0.019, 0.057, 0.119, 0.178, 0.187, 0.149, 0.112, 0.092, 0.051, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-13T07:04:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.005, 0.01, 0.023, 0.061, 0.108, 0.156, 0.187, 0.187, 0.143, 0.076, 0.027, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-14T07:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.011, 0.022, 0.088, 0.227, 0.268, 0.178, 0.1, 0.059, 0.027, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-15T09:12:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.004, 0.01, 0.025, 0.065, 0.142, 0.2, 0.204, 0.173, 0.107, 0.047, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-17T08:29:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.003, 0.005, 0.009, 0.021, 0.078, 0.2, 0.254, 0.185, 0.119, 0.075, 0.035, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-18T08:30:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.005, 0.026, 0.095, 0.185, 0.216, 0.207, 0.142, 0.068, 0.034, 0.012, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-19T08:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.007, 0.024, 0.105, 0.157, 0.184, 0.183, 0.147, 0.102, 0.056, 0.023, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-21T09:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.007, 0.013, 0.027, 0.054, 0.073, 0.102, 0.155, 0.21, 0.196, 0.106, 0.033, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-22T05:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.008, 0.026, 0.048, 0.067, 0.083, 0.091, 0.098, 0.123, 0.146, 0.145, 0.112, 0.036, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-22T07:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.022, 0.04, 0.057, 0.073, 0.093, 0.112, 0.143, 0.156, 0.143, 0.104, 0.033, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-23T06:46:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.007, 0.012, 0.027, 0.079, 0.164, 0.168, 0.158, 0.147, 0.123, 0.072, 0.027, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-24T07:13:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.007, 0.022, 0.054, 0.108, 0.155, 0.206, 0.201, 0.136, 0.076, 0.023, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-25T05:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.003, 0.006, 0.018, 0.062, 0.106, 0.131, 0.166, 0.175, 0.149, 0.105, 0.055, 0.016, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-29T07:56:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.01, 0.031, 0.087, 0.12, 0.139, 0.156, 0.162, 0.147, 0.096, 0.032, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-30T08:07:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.008, 0.063, 0.095, 0.095, 0.094, 0.13, 0.157, 0.137, 0.101, 0.067, 0.035, 0.011, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"